role,projection,dist_from_assistant,cos_to_axis
musician,-35.977943420410156,31.43380069732666,0.7584356069564819
vigilante,-36.089752197265625,31.54560947418213,0.7167273759841919
playwright,-36.118797302246094,31.574654579162598,0.7872804403305054
zeitgeist,-36.32578659057617,31.781643867492676,0.8444309234619141
fixer,-36.416908264160156,31.87276554107666,0.7945626974105835
revolutionary,-36.42615509033203,31.882012367248535,0.6961354613304138
comedian,-36.51970672607422,31.975564002990723,0.48447537422180176
hedonist,-36.87136459350586,32.32722187042236,0.7530558705329895
actor,-36.95064926147461,32.40650653839111,0.7874028086662292
maverick,-37.127586364746094,32.5834436416626,0.7754130363464355
cynic,-37.223819732666016,32.67967700958252,0.6032883524894714
evangelist,-37.28480911254883,32.74066638946533,0.8285905122756958
hoarder,-37.919063568115234,33.37492084503174,0.6391303539276123
virus,-38.36947250366211,33.82532978057861,0.7276883721351624
fool,-39.071083068847656,34.52694034576416,0.5973984003067017
novelist,-39.286251068115234,34.74210834503174,0.879801869392395
elder,-39.99458312988281,35.450440406799316,0.837917685508728
smuggler,-40.50341796875,35.959275245666504,0.6985560655593872
shapeshifter,-40.55405807495117,36.009915351867676,0.8759585618972778
narcissist,-40.610233306884766,36.06609058380127,0.6096222400665283
surfer,-40.72509765625,36.180954933166504,0.6947921514511108
romantic,-40.77767562866211,36.23353290557861,0.765634298324585
daredevil,-41.091312408447266,36.54716968536377,0.6523974537849426
sage,-41.14847183227539,36.604329109191895,0.8366435170173645
angel,-41.47084045410156,36.926697731018066,0.7321146130561829
parasite,-41.60004425048828,37.055901527404785,0.7820788621902466
luddite,-41.827880859375,37.283738136291504,0.7831361889839172
warrior,-41.97258758544922,37.42844486236572,0.7999153733253479
rebel,-42.092376708984375,37.54823398590088,0.7613885402679443
crystalline,-42.12288284301758,37.57874011993408,0.7061794996261597
martyr,-42.46154022216797,37.91739749908447,0.8037980794906616
rogue,-42.64452362060547,38.10038089752197,0.7891647815704346
predator,-42.80025100708008,38.25610828399658,0.8032991886138916
criminal,-43.02729797363281,38.483155250549316,0.687617301940918
alien,-43.028297424316406,38.48415470123291,0.8340326547622681
provocateur,-43.159912109375,38.615769386291504,0.7404583096504211
egregore,-43.19692611694336,38.65278339385986,0.8698620796203613
